prompt_number,app,model,dictionary_on,cleanup_on,latency_feel_1_to_5,edits_needed,dominant_pain,switched_to_flow,notes
1,ChatGPT,Parakeet V3,true,false,,,,false,
2,Claude,Parakeet V3,true,false,,,,false,
3,Cursor,Parakeet V3,true,false,,,,false,
4,ChatGPT,Parakeet V3,true,false,,,,false,
5,Claude,Parakeet V3,true,false,,,,false,
6,Cursor,Parakeet V3,true,false,,,,false,
7,ChatGPT,Parakeet V3,true,false,,,,false,
8,Claude,Parakeet V3,true,false,,,,false,
9,Cursor,Parakeet V3,true,false,,,,false,
10,ChatGPT,Parakeet V3,true,false,,,,false,
11,Claude,Parakeet V3,true,true,,,,false,
12,Cursor,Parakeet V3,true,true,,,,false,
13,ChatGPT,Parakeet V3,true,true,,,,false,
14,Claude,Parakeet V3,true,true,,,,false,
15,Cursor,Parakeet V3,true,true,,,,false,
16,ChatGPT,Parakeet V3,true,true,,,,false,
17,Claude,Parakeet V3,true,true,,,,false,
18,Cursor,Parakeet V3,true,true,,,,false,
19,ChatGPT,Parakeet V3,true,true,,,,false,
20,Claude,Parakeet V3,true,true,,,,false,
