claim_id,claim_text,claim_kind,evidence_status,source_ids,exact_location,scope,limitations,project_inference,decision_affected,last_checked
C001,The spike asks for a same-day VoiceInk-based trial and forbids a product build,source claim,Established,S001,"Starting point; Engineering rule",project scope,User preference remains unobserved,Keep work configuration-first,scope,2026-08-20
C002,Success depends on BOYA corpus results and 20 real prompts,source claim,Established,S001,"Acceptance criteria 1-10",acceptance,Human work is pending,Do not declare the spike passed before trial,completion,2026-08-20
C003,Current VoiceInk has an official make local build path for macOS 14.4+,observed fact,Established,"S002;S003",BUILDING.md lines 5-24,build,Dependencies require network and disk,Use official build path,shell,2026-08-20
C004,VoiceInk supports push-to-talk and explicit selected microphone input,observed fact,Established,"S002;S004;S005","RecordingShortcutManager.swift; AudioSetupView.swift; docs",shell,Connected BOYA still must be observed,Configure rather than rebuild,shell,2026-08-20
C005,VoiceInk applies word replacements after transcription and before enhancement,observed fact,Established,"S002;S006","TranscriptionPipeline.swift; WordReplacementService.swift",dictionary,Runtime import must still be tried,Reuse built-in pipeline,dictionary,2026-08-20
C006,Replacement matching is case-insensitive longest-first and boundary-aware for spaced languages,observed fact,Established,"S002;S006",WordReplacementService.swift,deterministic replacement,Non-spaced scripts intentionally use substring behavior,Seed aliases conservatively,dictionary,2026-08-20
C007,VoiceInk already lists Parakeet V3 and Whisper Large V3 Turbo as local models,observed fact,Established,"S002;S007;S008",TranscriptionModelRegistry.swift,model candidates,Availability requires model download,Use them as first two candidates,benchmark,2026-08-20
C008,Auto Send defaults to None but is configurable per Mode,observed fact,Established,"S002;S004",ModeConfig.swift and ModeConfigFormView.swift,delivery,A migrated existing mode could retain a send key,Inspect mode before any target-app test,safety,2026-08-20
C009,Wispr Flow parity and David preference are currently unknown,open question,Open question,S001,Core question and acceptance criteria,adoption,No audio or prompt trial exists yet,Require human evidence,completion,2026-08-20
C010,The current Mac satisfies documented command-line build prerequisites,observed fact,Established,S003,make check output 2026-08-20,build,Does not prove app launch,Proceed to compile,shell,2026-08-20
C011,WhisperKit is an available MIT Apple-Silicon Whisper runtime but integrating it duplicates the shell's existing Whisper path,project inference,Supported but conditional,"S002;S009",Official repos and local model registry,second model,No David corpus comparison yet,Use existing whisper.cpp comparator during spike,benchmark,2026-08-20
C012,Voxtral via MLX is not a reasonably easy first-pass addition to current VoiceInk,project inference,Supported but conditional,"S002;S010",Model card usage and local provider registry,third model,A new supported MLX path could appear later,Defer unless first two candidates fail,benchmark,2026-08-20
