source_id,title,author_or_issuer,source_type,primary_or_secondary,url_or_pointer,published_or_version_date,checked_at,licence_or_access,scope_or_domain,claim_ids,limitations,notes
S001,Spike brief,David,supplied brief,primary,reference/spike-brief.txt,2026-08-20,2026-08-20,private supplied material,project decision contract,"C001;C002;C009",Human trial not yet completed,SHA-256 167cf3a16d742f9153b5e368d04a3c88ff7325afd06c8d88f34f66692d1c5a52
S002,VoiceInk source at imported commit,Beingpax,official repository,primary,https://github.com/Beingpax/VoiceInk/tree/fda316996d87bc0c7b68d11a741b5c5aec8d8617,2026-08-19,2026-08-20,GPL-3.0,macOS dictation shell,"C003;C004;C005;C006;C007;C008",Source inspection does not prove runtime behavior,Imported under app/
S003,Building VoiceInk,Beingpax,official build guide,primary,https://github.com/Beingpax/VoiceInk/blob/fda316996d87bc0c7b68d11a741b5c5aec8d8617/BUILDING.md,2026-08-19,2026-08-20,GPL-3.0 repository,local build,"C003;C010",Ad-hoc builds may prompt again for permissions,Current machine passes make check
S004,VoiceInk Shortcuts,VoiceInk,official documentation,primary,https://tryvoiceink.com/docs/shortcuts,current at check,2026-08-20,public docs,push-to-talk,"C004;C008",Docs do not prove this Mac's shortcut behavior,
S005,VoiceInk Audio Input,VoiceInk,official documentation,primary,https://tryvoiceink.com/docs/audio-input,current at check,2026-08-20,public docs,input selection,C004,Exact BOYA display name requires connected device,
S006,VoiceInk Word Replacements,VoiceInk,official documentation,primary,https://tryvoiceink.com/docs/word-replacements,current at check,2026-08-20,public docs,deterministic replacement,"C005;C006",End-to-end imported behavior still needs UI trial,
S007,VoiceInk Recommended Models,VoiceInk,official documentation,primary,https://tryvoiceink.com/docs/recommended-models,current at check,2026-08-20,public docs,model recommendation,C007,Vendor recommendation is not David-specific evidence,
S008,FluidAudio repository,FluidInference,official repository,primary,https://github.com/FluidInference/FluidAudio,0.12.4 docs / VoiceInk pin c7b13a3942e79893f3bd76bfe3b1ed8d03e0bfc7,2026-08-20,Apache-2.0,Parakeet Core ML,C007,Published speed figures do not measure release-to-cursor latency,
S009,WhisperKit repository,Argmax,official repository,primary,https://github.com/argmaxinc/argmax-oss-swift,current at check,2026-08-20,MIT,Apple-Silicon Whisper,C011,Not integrated into current VoiceInk,
S010,Voxtral Mini 3B model card,Mistral AI,official model card,primary,https://huggingface.co/mistralai/Voxtral-Mini-3B-2507,2507,2026-08-20,Apache-2.0,local audio model,C012,Official examples target vLLM/Transformers and GPU memory not MLX/macOS,
